Проверка количества текущих сущностей.
Я создал 5 новых Item и это можно увидеть по вызову данной команды


D:\projects\job4j_tracker>jmap -histo 1440
 num     #instances         #bytes  class name (module)
  29:           646          21736  [Ljavax.management.ObjectName$Property; (java.management@16.0.2)
  30:           676          21632  java.lang.invoke.LambdaForm$Name (java.base@16.0.2)
  31:           284          21584  [Ljava.lang.ref.SoftReference; (java.base@16.0.2)
  32:           658          21056  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@16.0.2)
  33:           495          19800  java.io.DataOutputStream (java.base@16.0.2)
  34:           753          18072  javax.management.Attribute (java.management@16.0.2)
  35:           726          17424  java.io.SerialCallbackContext (java.base@16.0.2)
  36:           418          16720  java.io.ObjectOutputStream$HandleTable (java.base@16.0.2)
  37:           417          16680  java.io.ObjectStreamClass$FieldReflectorKey (java.base@16.0.2)
  38:           208          14976  sun.rmi.transport.ConnectionInputStream (java.rmi@16.0.2)
  39:           232          14144  [Ljava.io.ObjectInputStream$HandleTable$HandleList; (java.base@16.0.2)
  40:           424          13568  java.rmi.server.UID (java.rmi@16.0.2)
  41:           209          13376  sun.rmi.transport.ConnectionOutputStream (java.rmi@16.0.2)
  42:           822          13152  java.lang.Object (java.base@16.0.2)
  43:           543          13032  java.lang.invoke.ResolvedMethodName (java.base@16.0.2)
  44:           539          12936  java.util.ArrayList (java.base@16.0.2)
  45:           151          12016  [S (java.base@16.0.2)
  46:           365          11680  java.util.TreeMap$KeyIterator (java.base@16.0.2)
  47:           208          11648  java.io.ObjectInputStream$BlockDataInputStream (java.base@16.0.2)
  48:           188          11400  [Ljava.lang.reflect.Method; (java.base@16.0.2)
  49:           337          10784  java.util.TreeMap$EntryIterator (java.base@16.0.2)
  50:           191          10696  java.lang.Module (java.base@16.0.2)
  51:           330          10560  java.lang.ref.WeakReference (java.base@16.0.2)
  52:           402           9648  java.lang.module.ModuleDescriptor$Exports (java.base@16.0.2)
  53:           118           9440  jdk.internal.reflect.DelegatingClassLoader (java.base@16.0.2)
  54:           191           9168  java.util.TreeMap (java.base@16.0.2)
  55:           190           9120  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@16.0.2)
  56:           366           8784  javax.management.ObjectName$Property (java.management@16.0.2)
  57:           210           8400  sun.rmi.transport.StreamRemoteCall (java.rmi@16.0.2)
  58:           209           8360  java.io.ObjectOutputStream$BlockDataOutputStream (java.base@16.0.2)
  59:           208           8320  java.util.HashMap$ValueIterator (java.base@16.0.2)
  60:           259           8288  sun.security.util.KnownOIDs (java.base@16.0.2)
  61:           162           7848  [Ljava.lang.invoke.LambdaForm$Name; (java.base@16.0.2)
  62:           193           7720  java.io.ObjectStreamField (java.base@16.0.2)
  63:           471           7536  java.util.HashSet (java.base@16.0.2)
  64:           156           7488  java.lang.invoke.LambdaForm (java.base@16.0.2)
  65:           226           7232  javax.management.ObjectName (java.management@16.0.2)
  66:           292           6848  [Ljava.lang.reflect.Constructor; (java.base@16.0.2)
  67:           214           6848  java.io.DataInputStream (java.base@16.0.2)
  68:           209           6688  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@16.0.2)
  69:           417           6672  sun.rmi.transport.Transport$$Lambda$126/0x0000000800c9ced8 (java.rmi@16.0.2)
  70:           208           6656  java.io.ObjectInputStream$HandleTable (java.base@16.0.2)
  71:           208           6656  java.io.ObjectInputStream$PeekInputStream (java.base@16.0.2)
  72:           208           6656  sun.rmi.transport.Transport$1 (java.rmi@16.0.2)
  73:           136           6528  java.lang.management.MemoryUsage (java.management@16.0.2)
  74:           199           6368  java.lang.invoke.LambdaForm$NamedFunction (java.base@16.0.2)
  75:            17           6256  java.lang.Thread (java.base@16.0.2)
  76:           195           6240  javax.management.AttributeList (java.management@16.0.2)
  77:           194           6208  java.io.ObjectInputStream$FieldValues (java.base@16.0.2)
  78:           155           6200  java.util.WeakHashMap$Entry (java.base@16.0.2)
  79:           193           6176  java.lang.invoke.DirectMethodHandle (java.base@16.0.2)
  80:           252           6048  javax.management.ImmutableDescriptor (java.management@16.0.2)
  81:           239           5736  java.io.ObjectStreamClass$ClassDataSlot (java.base@16.0.2)
  82:           179           5728  java.lang.module.ModuleDescriptor$Requires (java.base@16.0.2)
  83:            71           5680  java.net.URI (java.base@16.0.2)
  84:           176           5632  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@16.0.2)
  85:           233           5592  java.util.ImmutableCollections$Set12 (java.base@16.0.2)
  86:           223           5352  java.util.Collections$UnmodifiableCollection$1 (java.base@16.0.2)
  87:           221           5328  [Ljava.io.ObjectStreamClass$ClassDataSlot; (java.base@16.0.2)
  88:           133           5320  java.security.ProtectionDomain (java.base@16.0.2)
  89:           129           5160  java.security.CodeSource (java.base@16.0.2)
  90:           212           5088  java.rmi.server.ObjID (java.rmi@16.0.2)
  91:           211           5064  sun.rmi.transport.ObjectEndpoint (java.rmi@16.0.2)
  92:           158           5056  java.lang.invoke.MethodTypeForm (java.base@16.0.2)
  93:           209           5016  java.io.ObjectOutputStream$ReplaceTable (java.base@16.0.2)
  94:           207           4968  javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation (java.management.rmi@16.0.2)
  95:           155           4960  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@16.0.2)
  96:           306           4896  java.lang.Integer (java.base@16.0.2)
  97:           194           4656  [Ljava.io.ObjectInputStream$FieldValues; (java.base@16.0.2)
  98:            72           4608  java.lang.module.ModuleDescriptor (java.base@16.0.2)
  99:           176           4224  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@16.0.2)
 100:           126           4032  jdk.internal.loader.NativeLibraries (java.base@16.0.2)
 101:            71           3976  jdk.internal.module.ModuleReferenceImpl (java.base@16.0.2)
 102:           162           3888  java.util.ImmutableCollections$List12 (java.base@16.0.2)
 103:           159           3816  java.time.LocalDateTime (java.base@16.0.2)
 104:           155           3720  javax.management.openmbean.CompositeDataSupport (java.management@16.0.2)
 105:            44           3600  [Ljava.lang.invoke.MethodHandle; (java.base@16.0.2)
 106:            90           3600  java.math.BigInteger (java.base@16.0.2)
 107:           110           3520  java.lang.invoke.BoundMethodHandle$Species_L (java.base@16.0.2)
 108:            33           3504  [Ljava.util.WeakHashMap$Entry; (java.base@16.0.2)
 109:           219           3504  java.util.HashMap$Values (java.base@16.0.2)
 110:           211           3376  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@16.0.2)
 111:           139           3336  java.util.ImmutableCollections$SetN (java.base@16.0.2)
 112:           208           3328  java.io.ObjectInputStream$ValidationList (java.base@16.0.2)
 113:           208           3328  sun.rmi.server.MarshalOutputStream$1 (java.rmi@16.0.2)
 114:           166           3320  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@16.0.2)
 115:            49           3136  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@16.0.2)
 116:            78           3120  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@16.0.2)
 117:           130           3120  java.util.AbstractMap$SimpleImmutableEntry (java.base@16.0.2)
 118:           122           2928  java.security.Provider$ServiceKey (java.base@16.0.2)
 119:            55           2888  [Ljavax.management.MBeanAttributeInfo; (java.management@16.0.2)
 120:            69           2832  [Ljava.lang.reflect.Field; (java.base@16.0.2)
 121:            50           2800  java.security.Provider$Service (java.base@16.0.2)
 122:           162           2592  java.util.TreeMap$KeySet (java.base@16.0.2)
 123:            54           2592  javax.management.MBeanInfo (java.management@16.0.2)
 124:            53           2544  java.lang.invoke.LambdaFormEditor$Transform (java.base@16.0.2)
 125:           103           2472  [[C (java.base@16.0.2)
 126:            50           2400  java.util.logging.LogManager$LoggerWeakRef (java.logging@16.0.2)
 127:            97           2328  java.time.LocalDate (java.base@16.0.2)
 128:            57           2280  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@16.0.2)
 129:            81           2264  [Ljava.io.ObjectStreamField; (java.base@16.0.2)
 130:            93           2232  java.util.concurrent.CopyOnWriteArrayList (java.base@16.0.2)
 131:           137           2192  java.util.TreeMap$EntrySet (java.base@16.0.2)
 132:           133           2128  [Ljava.security.Principal; (java.base@16.0.2)
 133:           133           2128  java.security.ProtectionDomain$Key (java.base@16.0.2)
 134:            38           2128  jdk.internal.org.objectweb.asm.SymbolTable$Entry (java.base@16.0.2)
 135:            66           2112  java.lang.invoke.LambdaForm$Kind (java.base@16.0.2)
 136:             2           2080  [Ljdk.internal.org.objectweb.asm.SymbolTable$Entry; (java.base@16.0.2)
 137:            65           2080  javax.management.MBeanAttributeInfo (java.management@16.0.2)
 138:           128           2048  java.lang.Character (java.base@16.0.2)
 139:            41           1968  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@16.0.2)
 140:            61           1952  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@16.0.2)
 141:            48           1920  java.lang.reflect.InvocationTargetException (java.base@16.0.2)
 142:            47           1880  java.lang.invoke.DirectMethodHandle$Accessor (java.base@16.0.2)
 143:            56           1792  java.lang.ref.ReferenceQueue (java.base@16.0.2)
 144:            73           1752  java.lang.module.ModuleDescriptor$Provides (java.base@16.0.2)
 145:            54           1728  java.util.logging.LogManager$LogNode (java.logging@16.0.2)
 146:            71           1704  jdk.internal.module.SystemModuleFinders$2 (java.base@16.0.2)
 147:            42           1680  java.lang.invoke.DirectMethodHandle$Constructor (java.base@16.0.2)
 148:            68           1632  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@16.0.2)
 149:            33           1584  java.time.temporal.ValueRange (java.base@16.0.2)
 150:             1           1568  [[B (java.base@16.0.2)
 151:            96           1536  jdk.internal.reflect.DelegatingMethodAccessorImpl (java.base@16.0.2)
 152:            38           1520  javax.management.MBeanOperationInfo (java.management@16.0.2)
 153:            63           1512  java.security.Provider$UString (java.base@16.0.2)
 154:            63           1512  java.util.Arrays$ArrayList (java.base@16.0.2)
 155:            62           1488  java.lang.module.ResolvedModule (java.base@16.0.2)
 156:            62           1488  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@16.0.2)
 157:            28           1344  java.util.WeakHashMap (java.base@16.0.2)
 158:            42           1344  javax.management.MBeanParameterInfo (java.management@16.0.2)
 159:            45           1336  [Ljavax.management.MBeanOperationInfo; (java.management@16.0.2)
 160:            71           1320  [Lsun.reflect.generics.tree.TypeArgument; (java.base@16.0.2)
 161:            41           1312  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@16.0.2)
 162:            39           1248  jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl (java.base@16.0.2)
 163:            31           1240  java.security.AccessControlContext (java.base@16.0.2)
 164:            30           1200  java.time.temporal.ChronoField (java.base@16.0.2)
 165:            38           1184  [Ljava.math.BigInteger; (java.base@16.0.2)
 166:            37           1184  java.net.InetAddress$InetAddressHolder (java.base@16.0.2)
 167:            29           1160  java.io.ObjectStreamClass$FieldReflector (java.base@16.0.2)
 168:            28           1120  java.lang.invoke.MethodHandleImpl$AsVarargsCollector (java.base@16.0.2)
 169:             1           1096  [Lsun.security.util.KnownOIDs; (java.base@16.0.2)
 170:            68           1088  java.util.HashMap$KeySet (java.base@16.0.2)
 171:             2           1064  [Ljava.lang.Integer; (java.base@16.0.2)
 172:            19           1064  java.nio.HeapCharBuffer (java.base@16.0.2)
 173:            44           1056  java.util.Arrays$ArrayItr (java.base@16.0.2)
 174:            66           1056  jdk.internal.module.SystemModuleFinders$3 (java.base@16.0.2)
 175:            66           1056  sun.reflect.generics.tree.ClassTypeSignature (java.base@16.0.2)
 176:             1           1040  [Ljava.lang.Long; (java.base@16.0.2)
 177:            41           1024  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@16.0.2)
 178:            16           1024  [Ljava.lang.Thread; (java.base@16.0.2)
 179:            42           1008  java.util.ImmutableCollections$ListN (java.base@16.0.2)
 180:            31            992  java.lang.ThreadLocal$ThreadLocalMap$Entry (java.base@16.0.2)
 181:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@16.0.2)
 182:            41            984  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@16.0.2)
 183:            24            960  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@16.0.2)
 184:            24            960  java.lang.UnsupportedOperationException (java.base@16.0.2)
 185:            30            960  java.security.Provider$EngineDescription (java.base@16.0.2)
 186:            17            952  java.util.LinkedHashMap (java.base@16.0.2)
 187:            17            952  javax.management.openmbean.CompositeType (java.management@16.0.2)
 188:            28            944  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@16.0.2)
 189:            58            928  java.lang.ref.ReferenceQueue$Lock (java.base@16.0.2)
 190:            58            928  java.util.HashMap$EntrySet (java.base@16.0.2)
 191:            19            912  javax.management.openmbean.ArrayType (java.management@16.0.2)
 192:            37            904  [Ljavax.management.MBeanParameterInfo; (java.management@16.0.2)
 193:             4            896  jdk.internal.org.objectweb.asm.MethodWriter (java.base@16.0.2)
 194:             6            864  [Ljava.lang.invoke.MemberName; (java.base@16.0.2)
 195:            36            864  java.lang.management.ManagementPermission (java.management@16.0.2)
 196:            27            864  java.util.Locale (java.base@16.0.2)
 197:            27            864  sun.util.locale.BaseLocale (java.base@16.0.2)
 198:            15            840  java.util.logging.Logger (java.logging@16.0.2)
 199:            25            800  com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference (java.management@16.0.2)
 200:            20            800  sun.reflect.generics.repository.MethodRepository (java.base@16.0.2)
 201:            14            784  javax.management.openmbean.OpenMBeanParameterInfoSupport (java.management@16.0.2)
 202:            32            768  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping (java.management@16.0.2)
 203:            32            768  java.time.LocalTime (java.base@16.0.2)
 204:            24            768  java.time.format.DateTimeFormatterBuilder$NumberPrinterParser (java.base@16.0.2)
 205:            33            736  [Ljava.lang.reflect.Type; (java.base@16.0.2)
 206:            23            736  sun.management.MappedMXBeanType$BasicMXBeanType (java.management@16.0.2)
 207:            18            720  java.lang.invoke.BoundMethodHandle$Species_LJ (java.base@16.0.2)
 208:            11            704  java.nio.DirectByteBuffer (java.base@16.0.2)
 209:             7            680  [D (java.base@16.0.2)
 210:            17            680  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@16.0.2)
 211:            17            680  sun.util.locale.provider.LocaleResources$ResourceReference (java.base@16.0.2)
 212:            35            672  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@16.0.2)
 213:            28            672  java.time.format.DateTimeFormatterBuilder$CompositePrinterParser (java.base@16.0.2)
 214:            28            672  java.util.jar.Attributes$Name (java.base@16.0.2)
 215:            41            656  jdk.internal.reflect.BootstrapConstructorAccessorImpl (java.base@16.0.2)
 216:            27            648  java.util.Collections$SingletonList (java.base@16.0.2)
 217:             2            640  [Ljava.time.LocalDateTime; (java.base@16.0.2)
 218:            16            640  java.time.format.DateTimeFormatter (java.base@16.0.2)
 219:            16            640  java.util.logging.Logger$ConfigurationData (java.logging@16.0.2)
 220:            20            640  sun.reflect.generics.tree.MethodTypeSignature (java.base@16.0.2)
 221:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@16.0.2)
 222:            26            624  com.sun.jmx.mbeanserver.NamedObject (java.management@16.0.2)
 223:            19            608  jdk.internal.reflect.NativeMethodAccessorImpl (java.base@16.0.2)
 224:            15            600  java.lang.invoke.VarHandle$AccessDescriptor (java.base@16.0.2)
 225:            25            600  java.util.Collections$UnmodifiableRandomAccessList (java.base@16.0.2)
 226:            24            576  java.lang.invoke.Invokers (java.base@16.0.2)
 227:            24            576  java.time.Duration (java.base@16.0.2)
 228:             7            560  java.util.concurrent.TimeUnit (java.base@16.0.2)
 229:            14            560  javax.management.openmbean.SimpleType (java.management@16.0.2)
 230:            10            560  sun.invoke.util.Wrapper (java.base@16.0.2)
 231:            14            560  sun.util.resources.Bundles$BundleReference (java.base@16.0.2)
 232:            23            552  java.lang.invoke.LambdaFormEditor$TransformKey (java.base@16.0.2)
 233:            23            552  sun.reflect.generics.factory.CoreReflectionFactory (java.base@16.0.2)
 234:             1            528  [Ljava.lang.Character; (java.base@16.0.2)
 235:            11            528  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping (java.management@16.0.2)
 236:            11            528  java.lang.invoke.BoundMethodHandle$SpeciesData (java.base@16.0.2)
 237:            13            520  com.sun.jmx.mbeanserver.PerInterface (java.management@16.0.2)
 238:            13            520  java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite (java.base@16.0.2)
 239:            16            512  java.lang.invoke.MethodHandles$Lookup (java.base@16.0.2)
 240:            16            512  java.net.Inet6Address$Inet6AddressHolder (java.base@16.0.2)
 241:             8            512  java.net.URL (java.base@16.0.2)
 242:            16            512  java.time.temporal.ChronoUnit (java.base@16.0.2)
 243:            16            512  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@16.0.2)
 244:            21            504  java.net.Inet4Address (java.base@16.0.2)
 245:             7            496  [Lsun.invoke.util.Wrapper; (java.base@16.0.2)
 246:             6            480  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry; (java.base@16.0.2)
 247:            12            480  java.io.FileDescriptor (java.base@16.0.2)
 248:            12            480  java.lang.OutOfMemoryError (java.base@16.0.2)
 249:            20            480  java.lang.RuntimePermission (java.base@16.0.2)
 250:             6            480  sun.nio.ch.NioSocketImpl (java.base@16.0.2)
 251:            20            480  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl (java.base@16.0.2)
 252:            20            480  sun.reflect.generics.scope.MethodScope (java.base@16.0.2)
 253:            19            456  java.lang.Class$AnnotationData (java.base@16.0.2)
 254:             8            448  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@16.0.2)
 255:             8            448  sun.management.MemoryPoolImpl (java.management@16.0.2)
 256:            14            448  sun.util.resources.Bundles$CacheKey (java.base@16.0.2)
 257:            11            440  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData; (java.base@16.0.2)
 258:            20            440  [Ljavax.management.MBeanNotificationInfo; (java.management@16.0.2)
 259:            11            440  sun.nio.fs.WindowsPath (java.base@16.0.2)
 260:             1            432  [[[C (java.base@16.0.2)
 261:            18            432  javax.management.StandardMBean (java.management@16.0.2)
 262:            13            416  [Ljava.net.InetAddress; (java.base@16.0.2)
 263:            13            416  jdk.jfr.internal.LogTag (jdk.jfr@16.0.2)
 264:            13            416  sun.security.jca.ProviderConfig (java.base@16.0.2)
 265:            24            408  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@16.0.2)
 266:            17            408  java.io.ObjectStreamClass$ExceptionInfo (java.base@16.0.2)
 267:            17            408  sun.nio.ch.OptionKey (java.base@16.0.2)
 268:            17            408  sun.nio.ch.SocketOptionRegistry$RegistryKey (java.base@16.0.2)
 269:            10            400  java.util.IdentityHashMap (java.base@16.0.2)
 270:             2            384  [Ljava.time.ZoneOffset; (java.base@16.0.2)
 271:            16            384  java.net.Inet6Address (java.base@16.0.2)
 272:            16            384  java.time.ZoneOffset (java.base@16.0.2)
 273:             8            384  java.util.Hashtable (java.base@16.0.2)
 274:            16            384  sun.management.MemoryUsageCompositeData (java.management@16.0.2)
 275:             1            376  com.intellij.rt.execution.application.AppMainV2$1
 276:             1            376  java.lang.ref.Finalizer$FinalizerThread (java.base@16.0.2)
 277:             1            376  java.util.logging.LogManager$Cleaner (java.logging@16.0.2)
 278:             1            376  jdk.internal.misc.InnocuousThread (java.base@16.0.2)
 279:            23            368  java.lang.invoke.LambdaFormEditor (java.base@16.0.2)
 280:             1            368  java.lang.ref.Reference$ReferenceHandler (java.base@16.0.2)
 281:            23            368  java.time.format.DateTimeFormatterBuilder$CharLiteralPrinterParser (java.base@16.0.2)
 282:             8            360  [Ljava.util.Hashtable$Entry; (java.base@16.0.2)
 283:            20            360  [Lsun.reflect.generics.tree.TypeSignature; (java.base@16.0.2)
 284:             8            352  [Ljava.lang.invoke.MethodType; (java.base@16.0.2)
 285:            22            352  java.util.Collections$UnmodifiableSet (java.base@16.0.2)
 286:             4            352  java.util.regex.Pattern (java.base@16.0.2)
 287:            11            352  jdk.internal.org.objectweb.asm.Type (java.base@16.0.2)
 288:            11            352  jdk.internal.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl (java.base@16.0.2)
 289:             7            336  java.lang.invoke.BoundMethodHandle$Species_LLLL (java.base@16.0.2)
 290:             7            336  java.lang.invoke.BoundMethodHandle$Species_LLLLL (java.base@16.0.2)
 291:             6            336  java.nio.DirectLongBufferU (java.base@16.0.2)
 292:             6            336  java.nio.HeapByteBuffer (java.base@16.0.2)
 293:            14            336  java.util.concurrent.ConcurrentSkipListMap$Node (java.base@16.0.2)
 294:             6            336  sun.util.calendar.ZoneInfo (java.base@16.0.2)
 295:             4            320  [Ljava.nio.ByteBuffer; (java.base@16.0.2)
 296:             8            320  java.lang.invoke.DirectMethodHandle$Interface (java.base@16.0.2)
 297:             8            320  jdk.internal.loader.NativeLibraries$NativeLibraryImpl (java.base@16.0.2)
 298:            10            320  jdk.internal.logger.LazyLoggers$LazyLoggerAccessor (java.base@16.0.2)
 299:             8            320  sun.management.MemoryPoolImpl$CollectionSensor (java.management@16.0.2)
 300:             8            320  sun.management.MemoryPoolImpl$PoolSensor (java.management@16.0.2)
 301:             5            320  sun.nio.cs.SingleByte$Encoder (java.base@16.0.2)
 302:             8            320  sun.rmi.transport.tcp.TCPEndpoint (java.rmi@16.0.2)
 303:            17            312  [Ljavax.management.MBeanConstructorInfo; (java.management@16.0.2)
 304:             3            312  java.util.jar.JarFile$JarFileEntry (java.base@16.0.2)
 305:             2            304  jdk.internal.org.objectweb.asm.ClassWriter (java.base@16.0.2)
 306:             2            288  [Z (java.base@16.0.2)
 307:            12            288  com.sun.jmx.remote.util.ClassLogger (java.management@16.0.2)
 308:            12            288  java.net.StandardSocketOptions$StdSocketOption (java.base@16.0.2)
 309:            12            288  java.util.concurrent.atomic.AtomicLong (java.base@16.0.2)
 310:             9            288  java.util.logging.Level (java.logging@16.0.2)
 311:             9            288  java.util.logging.Level$KnownLevel (java.logging@16.0.2)
 312:             9            288  javax.management.MBeanNotificationInfo (java.management@16.0.2)
 313:             1            280  [Ljava.lang.invoke.LambdaForm$Kind; (java.base@16.0.2)
 314:             7            280  java.net.InetAddress$CachedAddresses (java.base@16.0.2)
 315:             5            280  java.util.Properties (java.base@16.0.2)
 316:             5            280  jdk.internal.org.objectweb.asm.Label (java.base@16.0.2)
 317:             7            264  [Ljavax.management.openmbean.OpenType; (java.management@16.0.2)
 318:            11            264  java.lang.invoke.MethodHandleImpl$Intrinsic (java.base@16.0.2)
 319:             8            256  java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo (java.base@16.0.2)
 320:             8            256  java.util.ArrayList$Itr (java.base@16.0.2)
 321:            16            256  java.util.Collections$UnmodifiableMap$UnmodifiableEntrySet$UnmodifiableEntry (java.base@16.0.2)
 322:             8            256  java.util.Hashtable$Entry (java.base@16.0.2)
 323:            16            256  java.util.concurrent.locks.ReentrantLock (java.base@16.0.2)
 324:             8            256  sun.util.locale.BaseLocale$Key (java.base@16.0.2)
 325:            10            240  java.nio.charset.CoderResult (java.base@16.0.2)
 326:            10            240  java.nio.file.StandardOpenOption (java.base@16.0.2)
 327:            10            240  java.util.Collections$SetFromMap (java.base@16.0.2)
 328:             3            240  java.util.zip.ZipFile$Source (java.base@16.0.2)
 329:             5            232  [Ljava.lang.invoke.LambdaForm$NamedFunction; (java.base@16.0.2)
 330:             7            224  java.net.InetAddress$CachedLocalHost (java.base@16.0.2)
 331:            14            224  java.util.Collections$SingletonSet (java.base@16.0.2)
 332:             7            224  java.util.Collections$UnmodifiableMap (java.base@16.0.2)
 333:             2            224  sun.security.provider.HashDrbg (java.base@16.0.2)
 334:             9            216  com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ListenerWrapper (java.management@16.0.2)
 335:             9            216  sun.rmi.runtime.Log$LoggerLog (java.rmi@16.0.2)
 336:             9            216  sun.util.logging.PlatformLogger$Level (java.base@16.0.2)
 337:             2            208  java.lang.invoke.InnerClassLambdaMetafactory (java.base@16.0.2)
 338:            13            208  sun.util.logging.internal.LoggingProviderImpl$JULWrapper (java.logging@16.0.2)
 339:             5            200  java.lang.WeakPairMap$Pair$Weak (java.base@16.0.2)
 340:             5            200  java.net.Socket (java.base@16.0.2)
 341:             5            200  java.util.EnumMap (java.base@16.0.2)
 342:             5            200  java.util.stream.StreamOpFlag (java.base@16.0.2)
 343:             6            192  com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping (java.management@16.0.2)
 344:             4            192  java.lang.ThreadGroup (java.base@16.0.2)
 345:             6            192  java.lang.invoke.LambdaForm$BasicType (java.base@16.0.2)
 346:             8            192  java.math.RoundingMode (java.base@16.0.2)
 347:             8            192  java.net.NetPermission (java.base@16.0.2)
 348:             3            192  java.nio.DirectByteBufferR (java.base@16.0.2)
 349:             6            192  java.time.format.TextStyle (java.base@16.0.2)
 350:             6            192  java.util.ImmutableCollections$MapN (java.base@16.0.2)
 351:             8            192  java.util.LinkedList$Node (java.base@16.0.2)
 352:             6            192  java.util.RegularEnumSet (java.base@16.0.2)
 353:             6            192  java.util.concurrent.ConcurrentSkipListMap$KeyIterator (java.base@16.0.2)
 354:             4            192  java.util.concurrent.ThreadPoolExecutor$Worker (java.base@16.0.2)
 355:             8            192  jdk.internal.org.objectweb.asm.ByteVector (java.base@16.0.2)
 356:             6            192  sun.management.NotificationEmitterSupport$ListenerInfo (java.management@16.0.2)
 357:             4            192  sun.nio.cs.SingleByte$Decoder (java.base@16.0.2)
 358:             3            192  sun.nio.fs.WindowsFileAttributes (java.base@16.0.2)
